,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,directors,writers,actor,actress,archive_footage,archive_sound,cinematographer,composer,director_pr,editor,producer,production_designer,self,writer_pr,concat,Unnamed: 0_y,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,ROI_percent,ROI_usd,year,month,inflation,worldwide_gross_inf,domestic_gross_inf,production_budget_inf,ROI_USD_inf
1365,102803,tt6017942,Kin,Kin,2018,102.0,"['Action', 'Drama', 'Sci-Fi']",5.7,9048.0,"['nm5192757', 'nm5239466']","['nm5192757', 'nm5239466', 'nm0143403']","['nm8077090', 'nm2930503', 'nm0000598']",['nm2368789'],,,,,"['nm5192757', 'nm5239466']",,"['nm3510918', 'nm2036885', 'nm2950264']",,,['nm0143403'],Kin2018,1987,88,"Aug 31, 2018",Kin,30000000,5718096,10096821,-0.6634393,-19903179,2018,August,1.09,11005534.89,6232724.6400000015,32700000.000000004,-21694465.110000007
1366,103488,tt6063050,Acrimony,Acrimony,2018,120.0,"['Drama', 'Romance', 'Thriller']",5.7,6119.0,['nm1347153'],['nm1347153'],['nm0072713'],"['nm0378245', 'nm2981170', 'nm4564885']",,,['nm2355322'],['nm0501999'],['nm1347153'],,"['nm1129570', 'nm3884187', 'nm1725195']",,,,Acrimony2018,2534,35,"Mar 30, 2018",Acrimony,20000000,43549096,46627836,1.3313918,26627836,2018,March,1.09,50824341.24,47468514.64,21800000.0,29024341.24
1367,104431,tt6107548,Late Night,Late Night,2019,102.0,"['Comedy', 'Drama']",5.9,953.0,['nm0304091'],['nm1411676'],"['nm0001475', 'nm0199215']","['nm0000668', 'nm1411676']",,,['nm0164276'],['nm0053427'],['nm0304091'],,"['nm2249752', 'nm1878845', 'nm2232433']",,,,Late Night2019,4534,35,"Jun 7, 2019",Late Night,4000000,246305,246305,-0.93842375,-3753695,2019,June,1.07,263546.35000000003,263546.35000000003,4280000.0,-4016453.65
1368,104877,tt6133466,The First Purge,The First Purge,2018,98.0,"['Action', 'Horror', 'Sci-Fi']",5.1,41741.0,['nm2618764'],['nm0218621'],"['nm5002057', 'nm4725341', 'nm0004996']",['nm6280112'],,,,,['nm2618764'],,"['nm0298181', 'nm0000881', 'nm0089658', 'nm0286320']",,,['nm0218621'],The First Purge2018,3248,49,"Jul 4, 2018",The First Purge,13000000,69488745,136617305,9.509023461538463,123617305,2018,July,1.09,148912862.45000002,75742732.05000001,14170000.000000002,134742862.45000002
1369,105015,tt6139732,Aladdin,Aladdin,2019,128.0,"['Adventure', 'Comedy', 'Family']",7.4,57549.0,['nm0005363'],"['nm0041864', 'nm0005363']","['nm0000226', 'nm4565815', 'nm3092471']",['nm4305463'],,,['nm0829152'],['nm0579678'],['nm0005363'],,"['nm3043818', 'nm1469853']",,,['nm0041864'],Aladdin2019,80,81,"May 24, 2019",Aladdin,182000000,246734314,619234314,2.4023863406593406,437234314,2019,May,1.07,662580715.98,264005715.98,194740000.0,467840715.98
1370,105617,tt6175394,Posledniy bogatyr,Posledniy bogatyr,2017,114.0,"['Action', 'Adventure', 'Comedy']",6.6,1853.0,['nm2979103'],"['nm7984722', 'nm5683526', 'nm4224399', 'nm5683865', 'nm5683470']","['nm5683792', 'nm0492249']","['nm4754338', 'nm2611557']",,,,,['nm2979103'],,,,,"['nm5683470', 'nm7984722', 'nm5683526', 'nm4224399', 'nm5683865']",Posledniy bogatyr2017,3849,50,"Dec 31, 2017",Posledniy bogatyr,8500000,0,30700192,2.611787294117647,22200192,2017,December,1.11,34077213.120000005,0.0,9435000.0,24642213.120000005
1371,105721,tt6182908,Smallfoot,Smallfoot,2018,96.0,"['Adventure', 'Animation', 'Comedy']",6.7,23295.0,"['nm0456732', 'nm1134222']","['nm0456732', 'nm0784771', 'nm0720135', 'nm0275629', 'nm0655053', 'nm0687937', 'nm1139293']","['nm1475594', 'nm0179479', 'nm0996669']",['nm3918035'],,,,,"['nm0456732', 'nm1134222']",,,,,"['nm0655053', 'nm0784771', 'nm0720135', 'nm0275629']",Smallfoot2018,568,69,"Sep 28, 2018",Smallfoot,80000000,83240103,213691277,1.6711409625,133691277,2018,September,1.09,232923491.93,90731712.27,87200000.0,145723491.93
1372,107000,tt6265828,A Ghost Story,A Ghost Story,2017,92.0,"['Drama', 'Fantasy', 'Romance']",6.8,46280.0,['nm1108007'],['nm1108007'],"['nm0000729', 'nm8141375']","['nm1913734', 'nm5652167']",,,['nm3902730'],['nm5740235'],['nm1108007'],,"['nm2508774', 'nm2021909', 'nm1435934']",,,,A Ghost Story2017,5685,86,"Jul 7, 2017",A Ghost Story,100000,1594798,2769782,26.69782,2669782,2017,July,1.11,3074458.0200000005,1770225.7800000003,111000.0,2963458.0200000005
1373,107016,tt6266538,Vice,Vice,2018,132.0,"['Biography', 'Comedy', 'Drama']",7.2,72855.0,['nm0570912'],['nm0570912'],"['nm0000288', 'nm0136797', 'nm0005377']",['nm0010736'],,,,,['nm0570912'],,"['nm0000093', 'nm0002071', 'nm0306890', 'nm1250070', 'nm0582111']",,,,Vice2018,899,100,"Dec 25, 2018",Vice,60000000,47836282,70883171,0.1813861833333333,10883171,2018,December,1.09,77262656.39,52141547.38,65400000.00000001,11862656.389999993
1374,107376,tt6288250,Patti Cake$,Patti Cake$,2017,109.0,"['Drama', 'Music']",6.7,8581.0,['nm3017455'],['nm3017455'],"['nm0628897', 'nm6974206']","['nm4359664', 'nm3008608']",,,,,['nm3017455'],,"['nm0815610', 'nm0001060', 'nm1886653', 'nm1885766', 'nm3977207']",,,,Patti Cake$2017,5255,56,"Aug 18, 2017",Patti Cake$,1000000,800148,1471090,0.47108999999999995,471090,2017,August,1.11,1632909.9,888164.28,1110000.0,522909.90000000026
